Context utterance,Response utterance,Implicature 
Is there someone else here too?,"We haven't spoken to anyone else for thousands of years, so we started talking to ourselves.",No.
Have you been avoiding me? Barely seen you since I got home.,I have been busy.,No.
Like for an attic?,Like for a submarine.,No.
Could you play well?,"We were really falling apart, but that goal gave us a shot in the arm.",Yes.
Do you feel you shouldn't take it today?,Today's my birthday. I always make bad decisions on my birthday.,Yes.
Are you hungry?,"I’m dying of starvation, when’s dinner?",Yes.
Is everyone comfortable?,Everyone is on pins and needles,No.
Do you like brussel sprouts?,I hate them.,No.
Is he a naughty?,Boys will be boys.,Yes.
"will you mail these letters for me, please?",More letters. Your friends are going to be very happy to hear from you.,yes.
Is he a careful investor?,He never puts all of his eggs in one basket,Yes.
I am going to conduct my psychology experiment this Saturday. I would be having a handful. Would you help by writing the names of the participants?,I have got some work on my own.,No.
You mean beside Fred?,I mean including Fred.,No.
You think the cops have our phone bugged?,I don't think that's legal,No.
You're sure this time?,I need a map.,No.
Did you build that?,but it's seriously messed up.,Yes.
Are you hungry?,Maybe we can grab a bite on the way.,Yes.
You don't remember them?,Leave me alone!,Yes.
Do you have a girl worth fighting for ?,Wish that I had,No.
"Doctor, will he be alright?","Now, now, my dear. Keep a stiff upper lip. They all come in with a whimper, and leave with a grin. Off with you now.
Leave everything to me.",Yes.
Will they fire him?, His days are numbered.,Yes.
This is a costume?,Aaaiyyyy... worked on it all night long!,Yes.
Should I clean this up?,Don't expect me to act as your maid.,Yes.
Do you want some extra pepper in the lasagne?,Why do you want to ruin it?,No.
You brought the money?,Right here.,Yes.
You really believe I'm ready?,"You are, Po.",Yes.
And Kendrick was clear on what you wanted?,Crystal.,Yes.
Have you ever been in a courtroom?,I once had my drivers license suspended. ,Yes.
Can we go today?,I'm very sick.,No.
Can I still sign-up?,You got an instrument?,Yes.
Will they break this contract?,This contract is as solid as the ground we stand on.,No.
She's not gonna eat me right?,You're too skinny.,No.
Do you want to go to the lecture tonight in the science auditorium.,It is no kidding. I am writing a report on Antartica in my geography class. Maybe I would get some good information to add to it.,Yes.
Aren't you getting ready?,"We've lost our ride, Miriam.",No.
Did you call Carl to the concert?,I tried several times.,No.
So is this the best brand?,Pediatricians recommend this.,Yes.
Did you really say that ? So... how'd you get out of there alive?,"I mean, I didn't actually say that, but I thought it... in my mind. ",No.
"She really does love him, doesn't she, Sebastian?","Well, it's like I always say, Your Majesty. Children got to be free to lead their own lives.",Yes.
"everything alright, sir?","Fine, why do you ask?",Yes.
Is the dress perfect?,it fits like a glove.,Yes.
You think it's a sign?,"Everything has been a sign, why should this be any different?",Yes.
"Did he pass the exam?
",Does a monkey build a house?,No.
is this really necessary?,"Quite necessary, Fiona.",Yes.
You really know how to use that gungave you?,I can tag a breaching porpoise from forty meters off the bow of a rocking ship.,Yes.
Did you bring your blue and yellow sweater for me to wear to the game today? You know I like to wear school colours at the games.,Oh! I knew I forgot something at home.,No.
Can she hide her feeling?,She wears her heart on her sleeve.,No.
Are you taking the other's pokémon?!,Taking them?,No.
Are you just about done with the copying machine?,I just have to make sure that the copies are clear. ,Yes.
Can we solve this together?,Two heads are better than one.,yes.
Did you understand question number three?, I was totally in the dark.,No.
Do you have any ketchup left?,We are swimming in it.,Yes.
Have you tried choosing the apple pie?,I got the last piece. And it was out of this world,yes. 
"What, scared of heights?
"," I dunno, man. After what happened to Johnny Gobs",Yes.
but weren't you wondering where I was?,That's the point! That's why he was seeking you!,Yes.
"He's that bad, huh?","Not only that, but word of this letter's bound to get out.",Yes.
Could you help Bob and me plan a surpise party for Meg?,What can I do?,Yes.
Did you wear a jeans for the meeting?,"They wore jeans, which made me stand out like a sore thumb.",No.
did he say we were close? Did he say that?,It's more what he didn't say.,No.
C-can you can you unlock it?,Not in a million years. But it wouldn't matter;,No
You were a smoker?,Two packs a day.,Yes.
Do you think he has a chance to win?,He doesn't have a ghost of a chance.,No.
Are you coming with me to the exhibition today?,I made plans with Susan to go to the exhibition tomorrow afternoon.,No.
With those stupid uniforms?,Had to give it a try,Yes.
Do you believe everything you hear?,"Oh, I'm not one to judge.",Yes.
They poisoned the rag?,Not according to them.,No.
Do you expect Sheila to be late for the party tonight?,Is the pope Catholic?,Yes.
Have you finished reading what Chris wrote yet?,I read it last night.,Yes.
"Let's have a dance then, shall me?",Don't do that!,No.
Are you sending them an invitation?,Certainly.,Yes.
So they're not going to hurt us?,does it look like any of them are trying to hurt you?,No.
Is the groom taller than the bride?,He is s tall as a giraffe,Yes.
"Shrek, are you okay?",Oh... I can't believe I'm going to be a father.,Yes.
You took my photo off the ofrenda?!,It was an accident!,Yes.
Are you going to keep your part time job the next semest at the biology laboratory?,One semester as lab assistant is enough.,No.
Did they get any evidence?,The house is as clean as a whistle.,No.
Are you going to quit?,Enough is enough.,Yes.
Was that hot?,The sun was scorching?,Yes.
Are you angry at me?,"To err is human, to forgive divine.",No.
You want answers?,I want the truth.,Yes.
Do you have a cold?,We're allergic to youth.,No.
You got authorization from Aunt Ginny?,"I gave her a call like you asked. Very nice woman, we talked for about an hour. ",No.
Did she put on weight?,She is as thin as a rake.,No.
You remember?,Not by choice.,Yes.
You want me to drink this whole thing?,Down the hatch!,Yes.
Are you guys all right in there?,We're fine.,Yes.
"And marriage, does that get easier?",It's hard. We started going to a marriage counselor.,No.
"And then Batman showed up?
"," He saved all our lives, Jim.",Yes.
Are you alright without me?, I can’t live without you.,No.
"would you help me behind this week, to go over these questions again?",How about tomorrow then?,yes.
Are you sure you are not Don Johnson?,It must be a case of mistaken identity.,No.
Is it much farther?,Do you ever say something that isn't a stupid question?,No.
Is this heaven?,It's Iowa.,No.
Does he have work?,He is as busy as a bee.,Yes.
Did you go to the movies last night?,“I had to study last night.,No.
Is he smart?,His brain is the size of a pea.,No.
You thought we weren't?,I thought it might've been one of those made things that adults tell kids...,Yes.
Did you report Private Barnes to your superiors?,"I remember thinking very highly of Private Barnes, and not wanting to see his record tarnished by a formal charge.",No.
Should I be careful?,I want you home all in one piece.,Yes.
Are you guys going to win?,You can bet on it.,Yes.
"Professor, would it surprise you to find those clothes suit you?",It would surprise the hell out of me.,Yes.
Does he love his little girl?,She's the apple of his eye.,Yes.
It's bad isn't it?,We should get you to the doctor.,Yes.
Would you like to come inside'?,"Uh, thanks, but...I don't think I will.",No.
"This, So, this is your new job opportunity? ",You're gonna like this.,Yes.
Have you eve seen anything so wonderful in your entire life? ,"Wow, cool! But, err, what is it?",No.
Is he a good friend?,He's a pain in the neck.,No.
Do you know how to get there?,It's right around the corner.,Yes.
Did you hear they broke up?,It is probably all for the best. They were not getting along well.,Yes.
"They'll be safe, won't they?
",As safe as we can make 'em.,"Yes.
"
You're sure I'm not the Chosen One?,"Emmet, your mother is the most powerful being in the universe.",No.
Would you like to go to a party tonight?,I am too tired.,No.
Can you make a cake?,Can birds fly?,Yes.
Will these go away?,It's probably a functional impairment.,No.
You mean you don't know who she is?,No way.,Yes.
YOU all buddies?,Except for Skip and Nan. Them we just met.,No.
Do you feel comfortable here?,From day one.,Yes.
"I'm the Chosen One, remember?",I guess that makes two of us.,No.
You got anything to sell? , I can get it.,Yes.
"Good evening, George. Is anything the matter?",I'm afraid there is.,Yes.
Is she a chatterbox?,She never stops talking.,Yes.
"You stole that doll, didn't you?","Well, i-it looked just like you.",Yes
Can I get that doll?,Great! I'd love to get rid of it!,Yes.
Is it that obvious?,"Well, you do kinda stand out.",Yes.
Did you buy this pretty feather boy?,It was a present.,No.
You're gonna be seeing a lot of me. You're sure you don't mind?,It's good what you're doing.,Yes.
"But that's going a bit too far, don't you think?",Indubitably.,Yes.
That cake looks delicious. Aren't you going to have some with me?,I am allergic to chocolate.,No.
Do you mind if I ask Raimondo to go with him?,I don't see why I should mind.,No.
Did he assist you?,He helped me finish my paper,Yes.
Are you tired?, I've been burning the candle at both ends all week.,Yes.
Then it's the worst kind?,"They're all good, sir.",No.
You're leaving?,It has been a pleasure my Queen.,Yes.
Don't you ever think about having a family?,"Right now, you're my family.",No.
You want to do this to the whole world?,So the whole world will be exactly how I want.,Yes.
"Well, will you ask Mrs. Brill?","Not for a hundred quid, ma'am.",No.
I thought you said this was a difficult problem?,It's as easy as pie.,No.
Is he fat?,He is skinny enough to jump through a keyhole.,No.
You okay?,"I'm dying, kid.",No.
"Well, now that don't seem likely, does it?",It's true.,Yes.
Are you leaving at dawn for South America?,the night's still young!...,Yes.
Do you actually know all these people?,Some.,No.
And you say that came from Lisca Bianca?,It couldn't have come from anywhere else.,Yes.
You've been sneaking second helpings haven't you?,"Well you never know what meal is gonna be your last, especially with your cooking. ",Yes.
Does he talk a lot?,He talks a mile a minute.,Yes.
Is Marci grumpy?,he's as gentle as a lamb,No.
Can I get a small one?,"They come in all sizes honey, just like shoes.",Yes.
Does she always cry like that?,It's only because she's teething.,No.
Was the hall decorated well?,It was decorated with a million flowers.,Yes.
Did she sing well?,"Can you get feathers from a tortoise?
",No.
Special occasion?,I don't know. I guess so,Yes.
Can you forgive me?,"Hey, that's what friends are for, right?",Yes.
Did it rain yesterday?,We've been having quite a dry spell lately.,No.
"Did you invite john?
",He's such a wet blanket,No. 
"Is he available ?
","He's all tied up in the staff meeting.
",No.
"Ariel, are you okay?",If only I could make him understand.,No.
Does she know how to play a piano?,Now it is like second nature to her.,Yes.
Exactly the way it was?,Down to the last slime-covered toadstool.,Yes.
Do you think we should make a reservation at the restaurant?,That is a place which gets crowded only on weekends.,No.
Did I I see you with Jane at the supermarket?,"We just bumped into each other.""",Yes.
Is he generous?,He would give you the shirt off his back,Yes.
Did you order the code red?,You're goddamn right,Yes.
Could they compete against online platforms?,They were fighting a losing battle.,No.
Should we repay you?,"There is no charge for awesomeness, or attractiveness.",No.
"Now, are you familiar with the Narnia lullabies?",I'm afraid I'm Not,No.
Is this shoe comfortable?,These dress shoes are killing me.,No.
Does it rain here nowadays?,It’s been raining for 40 days and 40 nights.,Yes.
You invented fire?,I told you that.,Yes.
Is this really the best time to talk?,"Well, so far…",Yes.
Could you make me taller?,I can make anything you like to eat.,No.
"what, are you mad? How could you - what is all this?","It, err, it's just my - collection. . . .",No.
is this the ferry to the St. John house?,Any second now.,Yes.
Were they excited?,you could feel a ripple of excitement.,Yes.
Have you found another school for the children?,We're still shopping around.,Yes.
And did the young lady who was with you here?,She said she had to catch a Train.,No.
Do you think we wont be able to make it to the meeting tomorrow evening?,I just found out that I have to work overtime.,Yes.
Can your granmother hear?,She can hear a pin drop a mile away.,Yes.
"Can you get this suitcase to her parents, if you think it's appropriate?",I'll do what I can.,Yes.
Are you tired?, I’m so tired I could sleep for a million years.,Yes.
Did you clean your room?,Then why do I need to clean?,No.
Didn't I tell you to take out the garbage?,"Coming, Dad!",Yes.
That cake looks delicious. Aren't you going to have some with me?,I am watching my calorie intake.,No.
"You okay, Ernst?",I must've gagged. Did I pass out?,No.
Couldn't I have some more now?,I don't want to ruin you appetite.,No.
Did I do something wrong?,I have an axe to grind with you.,Yes.
"Do you want a cigar, Father?
",They're very bad for you.,No.
Does my smoking bother you?,it reminds me.,No.
Can I put some music on? It helps me to relax while I am studying.,I am having a hard time concentrating on this chapter as it is.,No.
"Bit early tonight, aren't you, admiral?","Nonsense. Bang on the dot, as usual.",No.
Is he fat?,He’s as skinny as a toothpick.,No.
Excuse me. Did anybody find a black umbrella after the show?,"Ask Jack at the ticket counter, that’s where we turn in the lost and found items.",Yes.
Aren't you scared?,"Well, that's just fine.",No.
Is it an easy job?,She works her fingers to the bone.,No.
"So wait, I'm really the only heir?",The one and only.,Yes.
Did he run fast?,That runner’s faster than the speed of lightning.,Yes.
Are you a very good tennis player?,I'm above average.,Yes.
Did he ever fall back on a run?,"All the time, sir.",Yes.
You sure you won't come?,"Don't fret, Charlie, they'll love the new catalog. At least, they'll love my chapters.",Yes.
Is the game still on?,it's all over.,No.
"Seagull? What? Oh - you went up to the surface again, didn't you?",Nothing - happened. . . .,Yes.
Will you stay if we promise to be good?,"Och! That's a piecrust promise. Easily made, easily broken.",No.
Do you think hysteria could do that?,It's being doing it for centuries.,Yes.
Did you check everywhere?,I checked every nook and cranny.,Yes.
Can I help you with that?,Why thank you!,Yes.
Did you ever regret it?,It was hard,Yes.
"you weren't supposed to follow me, were you?",Sorry. My fault.,No.
is there nothing we can do about Mr. Tumnus?,well.. there's hope!,No.
Did you book the tickets?,Is rain wet?,Yes.
"Have you found him yet?
",We're still looking.,No.
Do you have these journals?,I can have them flown here from Geneva in an hour.,No.
Have you tried cashing that refund cheque at the book store?,Oh Gosh Thank you for reminding me.,No.
Can I call you in a little while?,It's four in the morning... I'm going to go to sleep.,No.
"aside from the other reasons for your visit to America, are you interested in my offer we discussed?",I must confess... I still don't know exactly what we are to do for you.,Yes.
Was she angry?,She was so mad she was spitting bullets.,Yes.
I bought the wrong math book. Here is the receipt. Can I get my money back?,Not after ten days. But you can exchange something for it.,No.
Do you realize how perfectly unmatched we are?,It's made up about one thing though.,Yes.
Is Sylvia in?,he'll be back in a couple of hours.,No.
Did he get a huge profit?,He sold his website for peanut.,No.
Are you looking for an expensive laptop?,I’m looking for a reliable one that won’t break the bank.,No.
"Oh, Prince Achmed. You're not leaving so soon, are you?",Good luck marrying her off!,Yes.
I've heard it is the worst place to go to school. Is it?,It's not as bad as all that.,No.
Do you think your parents will be angry?,My parents are going to kill me when they find out.,Yes.
You don't have a plan?,"Hey, I'm making this up as I go",No.
That cake looks delicious. Aren't you going to have some with me?,But that was a huge meal we just had.,No.
"You getting this, Winifred?",Every word.,Yes.
Is that a big mall?,That mall is large enough to have its own zip code.,Yes.
This anything I should know about?,Nothing out of the routine.,No.
You think it's so easy?,Easy enough for you.,Yes.
Do you want to come out for a juice?,I am so thirsty that my throat is as dry as a bone.,Yes.
Are you all right?,Perfect! Never been better.,Yes.
Could you finish the report on time?,I bit off more than I could chew,No.
"Have you found him, Pepita? Have you found our boy?",A footprint!,No.
Does it bother you that the machine stops working like that?, I'm used to it.,No.
Have you finished sight-seeing?,Sorry. I should've come to see you first.,Yes.
Were you out with Jennifer last night?,I was out drinking with the boys. ,No.
Are you going to watch the game tomorrow?,Without a doubt!,Yes.
Any sign?,Something's going to happen out there. I can feel it.,Yes.
Can you DO that?,"My dear, sweet child. That's what I do - it's what I live for.  ",Yes.
Can you lend me some money?,I'm completely broke until payday.,No.
Have I done something to offend you?,I like all you Navy boys.,No.
Are you thirsty?,I’m thirsty as a camel.,Yes.
Are the flame androids deployed?,All twelve.,Yes.
Did you have a good time at the party?,It was gas.,No.
You mean I pretend I have a mom?,"You can do that, can't you?",Yes.
We're supposed to believe that?,That's right.,Yes.
"Oh, hello. Are you guys here to look at the refrigerator?",We're here to look at the TV. Heh heh.,No.
Should I go to their house?,It is a den of iniquity.,No.
Isn't this great?,delightful,Yes.
Are you willing to relocate?,"I’m willing to travel internationally, but relocating is out of the question.",No.
Did he ask you to marry him?,He has been beating around the bush.,No.
Should I convince these clients?,These are really important clients with deep pockets.,Yes.
Am I going too fast?,You're walking slower than a snail.,No.
Can I trust George?,He is as clean as a whistle.,Yes.
Is th job going to be easy?,You have big shoes to fill.,No.
Seen the late edition?, I'm afraid so.,"Yes.
"
So you think now everything's gonna turn back to normal?,As normal as it could be.,Yes.
Is it hot outside?,You could fry an egg on the sidewalk.,Yes.
This is large. Will this suit her?,She's as thin as a toothpick.,No.
Do you think you can give me a ride home?,A friend in need is a friend indeed.,Yes.
Were daddy's expectations really that high?,"Please, spare me the psycho-babble father bullshit.",Yes.
Can you help me with this problem?,Beats me.,No.
You can come to my house for dinner?,I'm hiding out.,No.
"You know that, don't you?
",It wouldn't matter much.,Yes.
is it dark always?,In the beginning it is always dark.,No.
He still dead?,Far as I know.,Yes.
Can you come to work today?,I'm down with the flu.,No.
Is she healthy?,She is all skin and bones.,No.
Does it look good?,It is divine.,Yes.
I am not quite happy here. Do you think I should fill in the survey ?,It is people like you whom we can aim to target for improvement.,Yes.
Don't you think there's more to our future than jelly?,"Well, I'm also considering a line of jams...",Yes.
"Oh. So, um, I should...stop talking?",If you can,Yes.
Are you rich?,We don't have two cents to rub together.,No.
Is she tall?,She’s as tall as a beanpole.,Yes.
Can't we just settle this over a pint?,Kill the beast!,No.
Did you get angry yesterday?,I completely lost my head.,Yes.
Do you feel better?,Frightened.,No.
Hi honey! Sorry we're late. You okay?,"Much better, now that you're here.",Yes.
Does it bother you that your husband goes away on long business trips?,Absence makes the heart grow fonder.,No.
Was that a long lecture?,I thought that lecture would never end.,Yes.
"Master, are you pointing at...me?",Him.,No.
Can we watch your TV?,Y... Y... You're expelled! Get out!,No.
"We, we can't wait for a snail. Do you want me to carry you?","Don't worry, it's a racing snail.",No.
Am I late?,No time to talk.,Yes.
You want me to come out there and play private eye?,Consider it.,Yes.
Would you like us to get you another goldfish?,He's fine.,No.
Did I miss anything good from the drama club's production last night?,Hardly. I was looking at my watch all the time.,No.
Do you have field hands that help you?,We work the land alone.,No.
Is Peter like you?,We're just as different as night and day.,No.
"Sally, that soup ready yet?",Coming.,Yes.
Is that a snake?,Belt! New and improved! It's even self-tightening. Ow!,No
Did I scare him off?,This battle is between you and me.,Yes.
Did you like the show?,"to me, it's like watching grass grow.",No.
"But Dad, didn't you ever, I dunno, want to do something else?",When I was young and crazy.. I thought about running away and learning how to make tofu. ,Yes.
Did he like the college?,He said he had the time of his life.,Yes.
Is is far away from here?,I walked a million miles to get there.,Yes.
Have you any news for me?,I've made progress.,Yes.
Are you sure that I should do it?,You’ve got to do what you’ve got to do,Yes.
Is the bangle clean now?,It is as shiny as a new pin,Yes.
Do you think you will ever work at that company again?,When pigs fly.,No.
Are you alright?,"I just, I wish I could've done something.",No.
Is your work exciting?,it is important. ,No.
Can you sit with me to have a look at these outlines?,I am tied up at this moment.,No.
They've found me! They're after you?,My father must have sent them,Yes.
"You trust me to keep your money, but not to take your picture?",Those are two different kinds of trust.,Yes.
"You're going to see your little brother?
", First thing.,Yes.
"They grow up so fast, don't they?",Too fast.,Yes.
Do you have any agricultural background?,I used to work in an office,No.
is he a nutcase?,He's a Rockbiter.,No.
Am I nuts?,Not completely.,Yes.
Would you like to hear it?,I'd be so grateful.,Yes.
Are you going to talk to Mark?,I have a bone to pick with Mark.,Yes.
Are you sure about this?,Have I ever been wrong? I mean when it's important!,Yes.
Did that help? Did you learn anything?,We established that we have no communication.,No.
And does Abu have anything else to say?,"Well, uh, he wishes there was something he could do to help.",Yes.
Do you want to quit?,I’ve never been the type of person who throws in the towel when things get tough.,No.
Is he with his parents?,Until he gets back on his feet.,Yes.
Can you pitch?,I'm not bad.,Yes.
can you tell my future from these stars?,"The stars don't tell the future, Donkey. They tell stories.",No.
Are you going for the party?,Is the pope Catholic?,Yes.
Are you able to carry the box?,It is as light as a feather.,Yes.
Do you sell calculators?,We are all sold out. We wont probably have any more in for a few weeks.,Yes.
Beautiful isn't it?,They're disgusting.,No.
Are you sure that's the plan?,You bet that's the plan!,Yes.
Are you Zuria?,He's inside.,No.
Will that make everything alrigt?,Thank you.,Yes.
Am I better than your sister?,You can't hold a candle to my sister.,No.
"in your opinion, was Private Santiago a good marine?",I'd say he was about average.,No.
"I think you'd make a fine writer, did you ask your Dad?",He won't give it to me.,No.
Did their answer annoy you?,That's what really gets up my nose,Yes.
It does what you tell it?,"Well, sort of.",Yes.
Are you still working on that same painting?,Hey! Rome was not built in one day!,Yes.
Was all the proposals good?,Only one made the cut.,No.
